1	-128.86	0	1
2	-97.59	0	1
3	-67.58	0	1
4	-29.57	0	1
5	0	0	1
6	33.98	0	1
7	89.17	0	1
8	180	0	1
9	-39.83	84.8	2
10	170	64.63	2
11	91	63.39	2
12	-101.47	57.73	2
13	9.05	56.79	2
14	-46.45	52.82	2
15	-147.41	46.18	2
16	51.92	43.47	2
17	132.55	42.71	2
18	174.68	32.84	2
19	91.22	32.24	2
20	-13.74	29.44	2
21	-81.98	29.43	2
22	-116.71	27.26	2
23	20.83	25.84	2
24	-48.2	23.34	2
25	-154.34	16.79	2
26	61.09	15.39	2
27	118.32	14.55	2
28	149.68	14.35	2
29	149.68	-14.35	3
30	118.32	-14.55	3
31	61.09	-15.39	3
32	-154.34	-16.79	3
33	-48.2	-23.34	3
34	20.83	-25.84	3
35	-116.71	-27.26	3
36	-81.98	-29.43	3
37	-13.74	-29.44	3
38	91.22	-32.24	3
39	174.68	-32.84	3
40	132.55	-42.71	3
41	51.92	-43.47	3
42	-147.41	-46.18	3
43	-46.45	-52.82	3
44	9.05	-56.79	3
45	-101.47	-57.73	3
46	91	-63.39	3
47	170	-64.63	3
48	-39.83	-84.8	3
